;ACCIMT Observatory;	ACCIMT Observatory
;Chitose;	Chitose
;Fukuoka;	Fukuoka
;Kyoto;	Kyoto
;Nagasaki;	Nagasaki
;Nagoya;	Nagoya
;Okinawa;	Okinawa
;Osaka;	Osaka
;Sapporo;	Sapporo
;Tokyo;	Tokyo
;Amman;	Amman
;Aqaba;	Aqaba
;Nairobi;	Nairobi
;Beirut;	Beirut
;Monrovia;	Monrovia
;Tripoli;	Tripoli
;Funchal;	Funchal
;Butterworth;	Butterworth
;Kota Kinabalu;	Kota Kinabalu
;Kuala Lumpur;	Kuala Lumpur
;Kuching;	Kuching
;Penang;	Penang
;Sibu;	Sibu
;Male;	Male
;Valletta;	Valletta
;Ine;	Ine
;Jaluit;	Jaluit
;Kili;	Kili
;Majuro;	Majuro
;Maloelap;	Maloelap
;Mili;	Mili
;Namorik;	Namorik
;Tinak;	Tinak
;Utirik;	Utirik
;Wotje;	Wotje
;Plaisance;	Plaisance
;Acapulco;	Acapulco
;Mexico City;	Mexico City
;Chuuk;	Chuuk
;Kosrae;	Kosrae
;Pohnpei;	Pohnpei
;Truk Atoll;	Truk Atoll
;Yap Island;	Yap Island
;Ben Guerir;	Ben Guerir
;Casablanca;	Casablanca
;Rabat;	Rabat
;Tangier;	Tangier
;Mandalay;	Mandalay
;Rangoon;	Rangoon
;Sittwe;	Sittwe
;Belfast;	Belfast
;Kathmandu;	Kathmandu
;Amsterdam;	Amsterdam
;Rotterdam;	Rotterdam
;Wolphaartsdijk;	Wolphaartsdijk
;Noumea;	Noumea
;Auckland;	Auckland
;Christchurch;	Christchurch
;Dunedin;	Dunedin
;Invercargill;	Invercargill
;Ohakea;	Ohakea
;Wellington;	Wellington
;Whenuapai;	Whenuapai
;Managua;	Managua
;Kano;	Kano
;Lagos;	Lagos
;Bergen;	Bergen
;Bodo;	Bodo
;Oslo;	Oslo
;Islamabad;	Islamabad
;Karachi;	Karachi
;Lahore;	Lahore
;Peshawar;	Peshawar
;Rawalpindi;	Rawalpindi
;Balboa;	Balboa
;Colon;	Colon
;Panama City;	Panama City
;Port Moresby;	Port Moresby
;Asuncion;	Asuncion
;Charlottetown;	Charlottetown
;Chiclayo;	Chiclayo
;Lima;	Lima
;Talara;	Talara
;Bacolod;	Bacolod
;Cubi Point;	Cubi Point
;Manila;	Manila
;Gdansk;	Gdansk
;Warsaw;	Warsaw
;Beja;	Beja
;Lisbon;	Lisbon
;Borinquen;	Borinquen
;Mayaguez;	Mayaguez
;Ponce;	Ponce
;Puerto Real;	Puerto Real
;Roosevelt Roads;	Roosevelt Roads
;San Juan;	San Juan
;Doha;	Doha
;Bucharest;	Bucharest
;Leningrad;	Leningrad
;Moscow;	Moscow
;St. Petersburg;	St. Petersburg
;Vladivostok;	Vladivostok
;Cape Town;	Cape Town
;Johannesburg;	Johannesburg
;Pretoria;	Pretoria
;Cheju;	Cheju
;Desiderio AAF;	Desiderio AAF
;Seoul;	Seoul
;Pago Pago;	Pago Pago
;Moose Jaw;	Moose Jaw
;Saskatoon;	Saskatoon
;Swift Current;	Swift Current
;Dhahran;	Dhahran
;Riyadh;	Riyadh
;Jeddah;	Jeddah
;Aberdeen;	Aberdeen
;Edinburgh;	Edinburgh
;Glasgow;	Glasgow
;Dakar;	Dakar
;Belgrade;	Belgrade
;Sigonella;	Sigonella
;Trapani;	Trapani
;Tengah;	Tengah
;Bratislava;	Bratislava
;Aviles;	Aviles
;Barcelona;	Barcelona
;Madrid;	Madrid
;Moron AB;	Moron AB
;Oviedo;	Oviedo
;Seville;	Seville
;Zaragoza;	Zaragoza
;Colombo;	Colombo
;Khartoum;	Khartoum
;Hyltebruk;	Hyltebruk
;Stockholm;	Stockholm
;Geneva;	Geneva
;Bern;	Bern
;Zurich;	Zurich
;Damascus;	Damascus
;Papeete;	Papeete
;Taipei;	Taipei
;Dar es Salaam;	Dar es Salaam
;Bangkok;	Bangkok
;Chiang Mai;	Chiang Mai
;Hat Yai;	Hat Yai
;Korat;	Korat
;Phuket;	Phuket
;Ubon;	Ubon
;Udon-Thani;	Udon-Thani
;Lhasa;	Lhasa
;Port of Spain;	Port of Spain
;Tunis;	Tunis
;Ankara;	Ankara
;Bandirma;	Bandirma
;Diyarbakir;	Diyarbakir
;Incirlik;	Incirlik
;Istanbul;	Istanbul
;Dubai;	Dubai
;Entebbe;	Entebbe
;Yalta;	Yalta
;Montevideo;	Montevideo
;Adak;AK	Adak, AK
;Allen AAF;AK	Allen AAF, AK
;Ambler;AK	Ambler, AK
;Amchitka;AK	Amchitka, AK
;Anchorage;AK	Anchorage, AK
;Annette Is.;AK	Annette Is., AK
;Barrow;AK	Barrow, AK
;Bethel;AK	Bethel, AK
;Bettles Field;AK	Bettles Field, AK
;Big Delta;AK	Big Delta, AK
;Big Lake;AK	Big Lake, AK
;Chignik;AK	Chignik, AK
;Circle;AK	Circle, AK
;Clear;AK	Clear, AK
;Cold Bay;AK	Cold Bay, AK
;Cordova;AK	Cordova, AK
;Deadhorse;AK	Deadhorse, AK
;Delta Jct.;AK	Delta Jct., AK
;Denali Nat&#39;l Park;AK	Denali Nat&#39;l Park, AK
;Dutch Harbor;AK	Dutch Harbor, AK
;Eagle;AK	Eagle, AK
;Eagle River;AK	Eagle River, AK
;Eielson AFB;AK	Eielson AFB, AK
;Fairbanks;AK	Fairbanks, AK
;Fort Greely;AK	Fort Greely, AK
;Fort Richardson;AK	Fort Richardson, AK
;Fort Yukon;AK	Fort Yukon, AK
;Galena;AK	Galena, AK
;Gulkana;AK	Gulkana, AK
;Haines;AK	Haines, AK
;Homer;AK	Homer, AK
;Hooper Bay;AK	Hooper Bay, AK
;Juneau;AK	Juneau, AK
;Kenai;AK	Kenai, AK
;Ketchikan;AK	Ketchikan, AK
;King Salmon;AK	King Salmon, AK
;Kodiak;AK	Kodiak, AK
;Kotzebue;AK	Kotzebue, AK
;McGrath;AK	McGrath, AK
;Nenana;AK	Nenana, AK
;Nome;AK	Nome, AK
;Northway;AK	Northway, AK
;Palmer;AK	Palmer, AK
;Petersburg;AK	Petersburg, AK
;Point Hope;AK	Point Hope, AK
;Prudhoe Bay;AK	Prudhoe Bay, AK
;Ruby;AK	Ruby, AK
;Seward;AK	Seward, AK
;Shemya;AK	Shemya, AK
;Shungnak;AK	Shungnak, AK
;Sitka;AK	Sitka, AK
;Spenard;AK	Spenard, AK
;Unalaska;AK	Unalaska, AK
;Valdez;AK	Valdez, AK
;Yakutat;AK	Yakutat, AK
;Alexander City;AL	Alexander City, AL
;Anniston;AL	Anniston, AL
;Atmore;AL	Atmore, AL
;Auburn;AL	Auburn, AL
;Birmingham;AL	Birmingham, AL
;Dothan;AL	Dothan, AL
;Florala;AL	Florala, AL
;Florence;AL	Florence, AL
;Fort Payne;AL	Fort Payne, AL
;Gadsden;AL	Gadsden, AL
;Huntsville;AL	Huntsville, AL
;Livingston;AL	Livingston, AL
;Madison;AL	Madison, AL
;Meridianville;AL	Meridianville, AL
;Mobile;AL	Mobile, AL
;Montgomery;AL	Montgomery, AL
;Mountain Brook;AL	Mountain Brook, AL
;Opelika;AL	Opelika, AL
;Phenix City;AL	Phenix City, AL
;Selma;AL	Selma, AL
;Thomasville;AL	Thomasville, AL
;Tuscaloosa;AL	Tuscaloosa, AL
;Arkadelphia;AR	Arkadelphia, AR
;Augusta;AR	Augusta, AR
;Benton;AR	Benton, AR
;Conway;AR	Conway, AR
;El Dorado;AR	El Dorado, AR
;Eudora;AR	Eudora, AR
;Fayetteville;AR	Fayetteville, AR
;Forrest City;AR	Forrest City, AR
;Fort Smith;AR	Fort Smith, AR
;Harrison;AR	Harrison, AR
;Hot Springs Nat Pk;AR	Hot Springs Nat Pk, AR
;Jacksonville;AR	Jacksonville, AR
;Jonesboro;AR	Jonesboro, AR
;Lake Village;AR	Lake Village, AR
;Little Rock;AR	Little Rock, AR
;Magnolia;AR	Magnolia, AR
;Mena;AR	Mena, AR
;N. Little Rock;AR	N. Little Rock, AR
;Ozark;AR	Ozark, AR
;Pine Bluff;AR	Pine Bluff, AR
;Rogers;AR	Rogers, AR
;Springdale;AR	Springdale, AR
;Texarkana;AR	Texarkana, AR
;West Memphis;AR	West Memphis, AR
;Ajo;AZ	Ajo, AZ
;Ash Fork;AZ	Ash Fork, AZ
;Casa Grande;AZ	Casa Grande, AZ
;Cave Creek;AZ	Cave Creek, AZ
;El Mirage;AZ	El Mirage, AZ
;Flagstaff;AZ	Flagstaff, AZ
;Gila Bend;AZ	Gila Bend, AZ
;Glendale;AZ	Glendale, AZ
;Holbrook;AZ	Holbrook, AZ
;Kingman;AZ	Kingman, AZ
;McNary;AZ	McNary, AZ
;Mesa;AZ	Mesa, AZ
;Moenkopi;AZ	Moenkopi, AZ
;Mount Hopkins;AZ	Mount Hopkins, AZ
;Nogales;AZ	Nogales, AZ
;Phoenix;AZ	Phoenix, AZ
;Prescott;AZ	Prescott, AZ
;Sanders;AZ	Sanders, AZ
;Scottsdale;AZ	Scottsdale, AZ
;Tempe;AZ	Tempe, AZ
;Tombstone;AZ	Tombstone, AZ
;Tucson;AZ	Tucson, AZ
;Wickenburg;AZ	Wickenburg, AZ
;Willcox;AZ	Willcox, AZ
;Yuma;AZ	Yuma, AZ
;Ahwahnee;CA	Ahwahnee, CA
;Alameda;CA	Alameda, CA
;Alhambra;CA	Alhambra, CA
;Alpine;CA	Alpine, CA
;Anaheim;CA	Anaheim, CA
;Arcade-Arden;CA	Arcade-Arden, CA
;Bakersfield;CA	Bakersfield, CA
;Baldwin Park;CA	Baldwin Park, CA
;Barstow;CA	Barstow, CA
;Bellflower;CA	Bellflower, CA
;Berkeley;CA	Berkeley, CA
;Boulder Creek;CA	Boulder Creek, CA
;Buena Park;CA	Buena Park, CA
;Burbank;CA	Burbank, CA
;Canoga Park;CA	Canoga Park, CA
;Carmichael;CA	Carmichael, CA
;Carson;CA	Carson, CA
;Cerritos;CA	Cerritos, CA
;Chino;CA	Chino, CA
;Chino Hills;CA	Chino Hills, CA
;Chula Vista;CA	Chula Vista, CA
;Clearlake;CA	Clearlake, CA
;Compton;CA	Compton, CA
;Concord;CA	Concord, CA
;Costa Mesa;CA	Costa Mesa, CA
;Culver City;CA	Culver City, CA
;Daly City;CA	Daly City, CA
;Death Valley Nat&#39;l Mon;CA	Death Valley Nat&#39;l Mon, CA
;Diamond Bar;CA	Diamond Bar, CA
;Diamond Springs;CA	Diamond Springs, CA
;Downey;CA	Downey, CA
;E. Los Angeles;CA	E. Los Angeles, CA
;Edwards AFB;CA	Edwards AFB, CA
;El Cajon;CA	El Cajon, CA
;El Monte;CA	El Monte, CA
;Escondido;CA	Escondido, CA
;Eureka;CA	Eureka, CA
;Fairfield;CA	Fairfield, CA
;Fountain Valley;CA	Fountain Valley, CA
;Fremont;CA	Fremont, CA
;Fresno;CA	Fresno, CA
;Fullerton;CA	Fullerton, CA
;Garden Grove;CA	Garden Grove, CA
;Glendale;CA	Glendale, CA
;Glendora;CA	Glendora, CA
;Goldstone;CA	Goldstone, CA
;Granada Hills;CA	Granada Hills, CA
;Grass Valley;CA	Grass Valley, CA
;Hawthorne;CA	Hawthorne, CA
;Hayward;CA	Hayward, CA
;Hollywood;CA	Hollywood, CA
;Huntington Beach;CA	Huntington Beach, CA
;Inglewood;CA	Inglewood, CA
;Irvine;CA	Irvine, CA
;Julian;CA	Julian, CA
;La Mesa;CA	La Mesa, CA
;La Verne;CA	La Verne, CA
;Lakewood;CA	Lakewood, CA
;Lockwood Valley;CA	Lockwood Valley, CA
;Lompoc;CA	Lompoc, CA
;Long Beach;CA	Long Beach, CA
;Los Altos Hills;CA	Los Altos Hills, CA
;Los Angeles;CA	Los Angeles, CA
;Manhattan Beach;CA	Manhattan Beach, CA
;Manton;CA	Manton, CA
;Milpitas;CA	Milpitas, CA
;Miramar NAS;CA	Miramar NAS, CA
;Modesto;CA	Modesto, CA
;Montebello;CA	Montebello, CA
;Monterey;CA	Monterey, CA
;Monterey Park;CA	Monterey Park, CA
;Mountain View;CA	Mountain View, CA
;N. Hollywood;CA	N. Hollywood, CA
;Napa;CA	Napa, CA
;Needles;CA	Needles, CA
;New Washoe City;CA	New Washoe City, CA
;Newport Beach;CA	Newport Beach, CA
;Norco;CA	Norco, CA
;Norwalk;CA	Norwalk, CA
;Oakland;CA	Oakland, CA
;Oceanside;CA	Oceanside, CA
;Ontario;CA	Ontario, CA
;Orange;CA	Orange, CA
;Oxnard;CA	Oxnard, CA
;Pacific Beach;CA	Pacific Beach, CA
;Palmdale;CA	Palmdale, CA
;Palo Alto;CA	Palo Alto, CA
;Pasadena;CA	Pasadena, CA
;Pico Rivera;CA	Pico Rivera, CA
;Pilot Hill;CA	Pilot Hill, CA
;Placerville;CA	Placerville, CA
;Pomona;CA	Pomona, CA
;Rancho Palos Verdes;CA	Rancho Palos Verdes, CA
;Redding;CA	Redding, CA
;Redondo Beach;CA	Redondo Beach, CA
;Redwood City;CA	Redwood City, CA
;Reseda;CA	Reseda, CA
;Richmond;CA	Richmond, CA
;Riverside;CA	Riverside, CA
;Rosemead;CA	Rosemead, CA
;Roseville;CA	Roseville, CA
;Rowland Heights;CA	Rowland Heights, CA
;Sacramento;CA	Sacramento, CA
;Salinas;CA	Salinas, CA
;Salton City;CA	Salton City, CA
;San Bernardino;CA	San Bernardino, CA
;San Diego;CA	San Diego, CA
;San Francisco;CA	San Francisco, CA
;San Jose;CA	San Jose, CA
;San Leandro;CA	San Leandro, CA
;San Mateo;CA	San Mateo, CA
;San Pedro;CA	San Pedro, CA
;Santa Ana;CA	Santa Ana, CA
;Santa Barbara;CA	Santa Barbara, CA
;Santa Clara;CA	Santa Clara, CA
;Santa Maria;CA	Santa Maria, CA
;Santa Monica;CA	Santa Monica, CA
;Santa Rosa;CA	Santa Rosa, CA
;Seal Beach;CA	Seal Beach, CA
;Shell Beach;CA	Shell Beach, CA
;Simi Valley;CA	Simi Valley, CA
;Sonoma;CA	Sonoma, CA
;South Gate;CA	South Gate, CA
;Stockton;CA	Stockton, CA
;Sun Valley;CA	Sun Valley, CA
;Sunnyvale;CA	Sunnyvale, CA
;Thousand Oaks;CA	Thousand Oaks, CA
;Torrance;CA	Torrance, CA
;Vacaville;CA	Vacaville, CA
;Vallejo;CA	Vallejo, CA
;Van Nuys;CA	Van Nuys, CA
;Vandenberg AFB;CA	Vandenberg AFB, CA
;Venice;CA	Venice, CA
;Ventura;CA	Ventura, CA
;Visalia;CA	Visalia, CA
;Walnut Creek;CA	Walnut Creek, CA
;West Covina;CA	West Covina, CA
;West Hills;CA	West Hills, CA
;Westminster;CA	Westminster, CA
;Whittier;CA	Whittier, CA
;Woodland Hills;CA	Woodland Hills, CA
;Yuba City;CA	Yuba City, CA
;Arvada;CO	Arvada, CO
;Aspen;CO	Aspen, CO
;Aurora;CO	Aurora, CO
;Boulder;CO	Boulder, CO
;Burlington;CO	Burlington, CO
;Colorado Springs;CO	Colorado Springs, CO
;Cortez;CO	Cortez, CO
;Cripple Creek;CO	Cripple Creek, CO
;Denver;CO	Denver, CO
;Durango;CO	Durango, CO
;Englewood;CO	Englewood, CO
;Evergreen;CO	Evergreen, CO
;Falcon;CO	Falcon, CO
;Fort Collins;CO	Fort Collins, CO
;Glenwood Springs;CO	Glenwood Springs, CO
;Grand Junction;CO	Grand Junction, CO
;Greeley;CO	Greeley, CO
;Kit Carson;CO	Kit Carson, CO
;Lakewood;CO	Lakewood, CO
;Lamar;CO	Lamar, CO
;Loveland;CO	Loveland, CO
;Pueblo;CO	Pueblo, CO
;Rifle;CO	Rifle, CO
;Steamboat Springs;CO	Steamboat Springs, CO
;Thornton;CO	Thornton, CO
;Trinidad;CO	Trinidad, CO
;Westminster;CO	Westminster, CO
;Yuma;CO	Yuma, CO
;Avon;CT	Avon, CT
;Bridgeport;CT	Bridgeport, CT
;Bristol;CT	Bristol, CT
;Burlington;CT	Burlington, CT
;Chester;CT	Chester, CT
;Danbury;CT	Danbury, CT
;Danielson;CT	Danielson, CT
;Derby;CT	Derby, CT
;Enfield;CT	Enfield, CT
;Fairfield;CT	Fairfield, CT
;Greenwich;CT	Greenwich, CT
;Hamden;CT	Hamden, CT
;Hartford;CT	Hartford, CT
;Manchester;CT	Manchester, CT
;Meriden;CT	Meriden, CT
;Milford;CT	Milford, CT
;New Britian;CT	New Britian, CT
;New Hartford;CT	New Hartford, CT
;New Haven;CT	New Haven, CT
;New London;CT	New London, CT
;Norwalk;CT	Norwalk, CT
;Orange;CT	Orange, CT
;Putnam;CT	Putnam, CT
;Southington;CT	Southington, CT
;Stamford;CT	Stamford, CT
;Stratford;CT	Stratford, CT
;Torrington;CT	Torrington, CT
;W. Hartford;CT	W. Hartford, CT
;Waterbury;CT	Waterbury, CT
;West Haven;CT	West Haven, CT
;Windam;CT	Windam, CT
;Winsted;CT	Winsted, CT
;Washington;DC	Washington, DC
;Washington (USNO);DC	Washington (USNO), DC
;Brookside Park;DE	Brookside Park, DE
;Claymont;DE	Claymont, DE
;Dover;DE	Dover, DE
;Dover AFB;DE	Dover AFB, DE
;Elsmere;DE	Elsmere, DE
;Georgetown;DE	Georgetown, DE
;Harrington;DE	Harrington, DE
;Laurel;DE	Laurel, DE
;Lewes;DE	Lewes, DE
;Middletown;DE	Middletown, DE
;Milford;DE	Milford, DE
;New Castle;DE	New Castle, DE
;Newark;DE	Newark, DE
;Seaford;DE	Seaford, DE
;Smyrna;DE	Smyrna, DE
;Wilmington;DE	Wilmington, DE
;Boca Raton;FL	Boca Raton, FL
;Cape Canaveral;FL	Cape Canaveral, FL
;Clearwater;FL	Clearwater, FL
;Daytona Beach;FL	Daytona Beach, FL
;Dover;FL	Dover, FL
;Elgin AFB;FL	Elgin AFB, FL
;Fort Lauderdale;FL	Fort Lauderdale, FL
;Fort Myers;FL	Fort Myers, FL
;Fruitland Park;FL	Fruitland Park, FL
;Ft. Myers;FL	Ft. Myers, FL
;Gainesville;FL	Gainesville, FL
;Hialeah;FL	Hialeah, FL
;Hollywood;FL	Hollywood, FL
;Jacksonville;FL	Jacksonville, FL
;Jensen Beach;FL	Jensen Beach, FL
;Kissimmee;FL	Kissimmee, FL
;Lake City;FL	Lake City, FL
;Lakeland;FL	Lakeland, FL
;Largo;FL	Largo, FL
;Lynn Haven;FL	Lynn Haven, FL
;Melbourne;FL	Melbourne, FL
;Merritt Island;FL	Merritt Island, FL
;Miami;FL	Miami, FL
;Miami Beach;FL	Miami Beach, FL
;Miramar;FL	Miramar, FL
;Naples;FL	Naples, FL
;Ocala;FL	Ocala, FL
;Orange Park;FL	Orange Park, FL
;Orlando;FL	Orlando, FL
;Palm City;FL	Palm City, FL
;Panama City;FL	Panama City, FL
;Pensacola;FL	Pensacola, FL
;Pompano Beach;FL	Pompano Beach, FL
;Port Salerno;FL	Port Salerno, FL
;Sarasota;FL	Sarasota, FL
;Sebastian;FL	Sebastian, FL
;St. Petersburg;FL	St. Petersburg, FL
;Sunrise;FL	Sunrise, FL
;Tallahassee;FL	Tallahassee, FL
;Tampa;FL	Tampa, FL
;West Palm Beach;FL	West Palm Beach, FL
;Albany;GA	Albany, GA
;Alpharetta;GA	Alpharetta, GA
;Athens;GA	Athens, GA
;Atlanta;GA	Atlanta, GA
;Augusta;GA	Augusta, GA
;Brunswick;GA	Brunswick, GA
;Carrollton;GA	Carrollton, GA
;Cartersville;GA	Cartersville, GA
;Columbus;GA	Columbus, GA
;East Point;GA	East Point, GA
;Eatonton;GA	Eatonton, GA
;Gainesville;GA	Gainesville, GA
;La Grange;GA	La Grange, GA
;Louisville;GA	Louisville, GA
;Macon;GA	Macon, GA
;Marietta;GA	Marietta, GA
;Milledgeville;GA	Milledgeville, GA
;Morrow;GA	Morrow, GA
;Roswell;GA	Roswell, GA
;Sandersville;GA	Sandersville, GA
;Savannah;GA	Savannah, GA
;Tifton;GA	Tifton, GA
;Tucker;GA	Tucker, GA
;Valdosta;GA	Valdosta, GA
;Warner Robins;GA	Warner Robins, GA
;Waycross;GA	Waycross, GA
;Bradshaw AAF;HI	Bradshaw AAF, HI
;Dillingham;HI	Dillingham, HI
;Ewa;HI	Ewa, HI
;Ford Island;HI	Ford Island, HI
;Haiku;HI	Haiku, HI
;Hana;HI	Hana, HI
;Hauula;HI	Hauula, HI
;Hilo;HI	Hilo, HI
;Honolulu;HI	Honolulu, HI
;Kaena Point;HI	Kaena Point, HI
;Kahului;HI	Kahului, HI
;Kailua Kona;HI	Kailua Kona, HI
;Kalapana;HI	Kalapana, HI
;Kalaupapa;HI	Kalaupapa, HI
;Kamuela;HI	Kamuela, HI
;Kaneohe Bay;HI	Kaneohe Bay, HI
;Kapaa;HI	Kapaa, HI
;Kapalua;HI	Kapalua, HI
;Kaunakakai;HI	Kaunakakai, HI
;Keahole;HI	Keahole, HI
;Kekaha;HI	Kekaha, HI
;Kohala;HI	Kohala, HI
;Koko Head;HI	Koko Head, HI
;Koloa;HI	Koloa, HI
;Kona;HI	Kona, HI
;Lanai City;HI	Lanai City, HI
;Lihue;HI	Lihue, HI
;Molokai;HI	Molokai, HI
;Naalehu;HI	Naalehu, HI
;Paauilo;HI	Paauilo, HI
;Port Allen;HI	Port Allen, HI
;South Kauai VORTAC;HI	South Kauai VORTAC, HI
;Tern Island;HI	Tern Island, HI
;Upolu;HI	Upolu, HI
;Upolu Point;HI	Upolu Point, HI
;Wahiawa;HI	Wahiawa, HI
;Waialua;HI	Waialua, HI
;Waikola;HI	Waikola, HI
;Wailuku;HI	Wailuku, HI
;Waimea;HI	Waimea, HI
;Waipahu;HI	Waipahu, HI
;Wheeler AFB;HI	Wheeler AFB, HI
;Ames;IA	Ames, IA
;Bettendorf;IA	Bettendorf, IA
;Burlington;IA	Burlington, IA
;Cedar Falls;IA	Cedar Falls, IA
;Cedar Rapids;IA	Cedar Rapids, IA
;Clinton;IA	Clinton, IA
;Coralville;IA	Coralville, IA
;Corning;IA	Corning, IA
;Council Bluffs;IA	Council Bluffs, IA
;Danville;IA	Danville, IA
;Davenport;IA	Davenport, IA
;Des Moines;IA	Des Moines, IA
;Dubuque;IA	Dubuque, IA
;Dunlap;IA	Dunlap, IA
;Eldridge;IA	Eldridge, IA
;Fort Dodge;IA	Fort Dodge, IA
;Iowa City;IA	Iowa City, IA
;Mason City;IA	Mason City, IA
;New Hampton;IA	New Hampton, IA
;Ottumwa;IA	Ottumwa, IA
;Primghar;IA	Primghar, IA
;Sheldon;IA	Sheldon, IA
;Sioux City;IA	Sioux City, IA
;Spencer;IA	Spencer, IA
;Waterloo;IA	Waterloo, IA
;Aberdeen;ID	Aberdeen, ID
;Albion;ID	Albion, ID
;American Falls;ID	American Falls, ID
;Boise;ID	Boise, ID
;Caldwell;ID	Caldwell, ID
;Elk River;ID	Elk River, ID
;Glenns Ferry;ID	Glenns Ferry, ID
;Grangeville;ID	Grangeville, ID
;Hailey;ID	Hailey, ID
;Idaho Falls;ID	Idaho Falls, ID
;Lewiston;ID	Lewiston, ID
;Mackay;ID	Mackay, ID
;Moscow;ID	Moscow, ID
;Mountain Home AFB;ID	Mountain Home AFB, ID
;Nampa;ID	Nampa, ID
;New Meadows;ID	New Meadows, ID
;Pocatello;ID	Pocatello, ID
;Preston;ID	Preston, ID
;Rexburg;ID	Rexburg, ID
;Salmon;ID	Salmon, ID
;Sandpoint;ID	Sandpoint, ID
;Shoshone;ID	Shoshone, ID
;Soda Springs;ID	Soda Springs, ID
;Twin Falls;ID	Twin Falls, ID
;Wallace;ID	Wallace, ID
;Wilder;ID	Wilder, ID
;Winchester;ID	Winchester, ID
;Arlington Hts.;IL	Arlington Hts., IL
;Aurora;IL	Aurora, IL
;Belleville;IL	Belleville, IL
;Bloomington;IL	Bloomington, IL
;Carbondale;IL	Carbondale, IL
;Cary;IL	Cary, IL
;Champaign;IL	Champaign, IL
;Chicago;IL	Chicago, IL
;Chillicothe;IL	Chillicothe, IL
;Cicero;IL	Cicero, IL
;Creve Coeur;IL	Creve Coeur, IL
;Decataur;IL	Decataur, IL
;Dekalb;IL	Dekalb, IL
;Des Plaines;IL	Des Plaines, IL
;E. St. Louis;IL	E. St. Louis, IL
;Effingham;IL	Effingham, IL
;Eldorado;IL	Eldorado, IL
;Elgin;IL	Elgin, IL
;Evanston;IL	Evanston, IL
;Joliet;IL	Joliet, IL
;Kankakee;IL	Kankakee, IL
;Lake Villa;IL	Lake Villa, IL
;Melrose Park;IL	Melrose Park, IL
;Moline;IL	Moline, IL
;Naperville;IL	Naperville, IL
;Oak Park;IL	Oak Park, IL
;Paris;IL	Paris, IL
;Peoria;IL	Peoria, IL
;Peru;IL	Peru, IL
;Robinson;IL	Robinson, IL
;Rockford;IL	Rockford, IL
;Schaumburg;IL	Schaumburg, IL
;Skokie;IL	Skokie, IL
;Springfield;IL	Springfield, IL
;Sterling;IL	Sterling, IL
;Urbana;IL	Urbana, IL
;Washington;IL	Washington, IL
;Waukegan;IL	Waukegan, IL
;Anderson;IN	Anderson, IN
;Bloomington;IN	Bloomington, IN
;DeMotte;IN	DeMotte, IN
;Elkhart;IN	Elkhart, IN
;Evansville;IN	Evansville, IN
;Ft. Wayne;IN	Ft. Wayne, IN
;Gary;IN	Gary, IN
;Grissom AFB;IN	Grissom AFB, IN
;Hammond;IN	Hammond, IN
;Indianapolis;IN	Indianapolis, IN
;Kokomo;IN	Kokomo, IN
;Lafayette;IN	Lafayette, IN
;Mishawaka;IN	Mishawaka, IN
;Monticello;IN	Monticello, IN
;Montpelier;IN	Montpelier, IN
;Muncie;IN	Muncie, IN
;New Albany;IN	New Albany, IN
;New Castle;IN	New Castle, IN
;South Bend;IN	South Bend, IN
;Terre Haute;IN	Terre Haute, IN
;Wabash;IN	Wabash, IN
;Abilene;KS	Abilene, KS
;Ashland;KS	Ashland, KS
;Dodge City;KS	Dodge City, KS
;Fort Riley;KS	Fort Riley, KS
;Fort Scott;KS	Fort Scott, KS
;Garden City;KS	Garden City, KS
;Hutchinson;KS	Hutchinson, KS
;Independence;KS	Independence, KS
;Kansas City;KS	Kansas City, KS
;Lawrence;KS	Lawrence, KS
;Leavenworth;KS	Leavenworth, KS
;Lincoln;KS	Lincoln, KS
;Manhattan;KS	Manhattan, KS
;Norton;KS	Norton, KS
;Oakley;KS	Oakley, KS
;Olathe;KS	Olathe, KS
;Osborne;KS	Osborne, KS
;Overland Park;KS	Overland Park, KS
;Pratt;KS	Pratt, KS
;Russell;KS	Russell, KS
;Salina;KS	Salina, KS
;Shawnee;KS	Shawnee, KS
;Topeka;KS	Topeka, KS
;Wichita;KS	Wichita, KS
;Ashland;KY	Ashland, KY
;Booneville;KY	Booneville, KY
;Bowling Green;KY	Bowling Green, KY
;Corbin;KY	Corbin, KY
;Covington;KY	Covington, KY
;Crestwood;KY	Crestwood, KY
;Elizabethtown;KY	Elizabethtown, KY
;Falmouth;KY	Falmouth, KY
;Frankfort;KY	Frankfort, KY
;Glasgow;KY	Glasgow, KY
;Hazard;KY	Hazard, KY
;Henderson;KY	Henderson, KY
;Hopkinsville;KY	Hopkinsville, KY
;Lebanon;KY	Lebanon, KY
;Lexington;KY	Lexington, KY
;Louisville;KY	Louisville, KY
;Maysville;KY	Maysville, KY
;Morehead;KY	Morehead, KY
;Newport;KY	Newport, KY
;Owensboro;KY	Owensboro, KY
;Paducah;KY	Paducah, KY
;Richmond;KY	Richmond, KY
;Somerset;KY	Somerset, KY
;Winchester;KY	Winchester, KY
;Alexandria;LA	Alexandria, LA
;Baton Rouge;LA	Baton Rouge, LA
;Bogalusa;LA	Bogalusa, LA
;Bossier City;LA	Bossier City, LA
;Delhi;LA	Delhi, LA
;Ferriday;LA	Ferriday, LA
;Fisher;LA	Fisher, LA
;Houma;LA	Houma, LA
;Kenner;LA	Kenner, LA
